assetId,assetName,assetType,manufacturer,model,installYear,designCapacity,designTemp,designPressure,site,operatingHours,maintenanceStrategy,temperature,pressure,vibration,stackTemp,steamOutput,fuelConsumption,load,energyInput,energyOutput,efficiencyScore,recentFaults,overdueDays,assetAge,criticality,lastMaintenanceDate,workerCertified,workerFatigue,workerExperience,operatorObservation,maintenanceHistory,waterHardness,bearingTemp,shaftSpeed,co2Emissions,noxLevel,emissionCompliant,replacementCost,annualMaintenanceCost,historicalHealthScores,healthScore,riskLevel,reviewStatus,confidenceScore,recommendedAction,priority,keyFactors,supportingNotes
BOI-101,Main Steam Boiler A,Boiler,Cleaver-Brooks,CB-800,2018,800 kW,180,10,Melbourne Plant,14200,Condition-Based,91,74,22,145,790,62,88,920,790,82,0,0,8,High,2026-02-10,True,Low,5,Running within expected operating band.,Scheduled PM completed Feb 2026. No outstanding issues.,140,42,1450,124,38,True,95000,8200,"[88, 86, 85, 84, 83, 82]",78,Medium,Pending Review,94,Inspect / Tune / Clean,Planned,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-205,Burner Unit 2,Burner,Weishaupt,WM-GL30,2019,500 kW,160,8,Geelong Energy Hub,11800,Preventative,108,79,34,178,460,81,74,620,460,66,2,11,7,Medium,2026-01-22,True,Medium,3,Temperature trend has increased over the last week.,PM overdue 11 days. Two fault events logged in last 30 days.,160,58,1380,162,52,True,45000,5800,"[78, 75, 72, 70, 68, 66]",29,High,Pending Review,86,Service / Escalate,Immediate,"['2 recent fault event(s)', 'maintenance overdue by 11 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-144,Feedwater Pump 3,Pump,Grundfos,NK-125,2016,200 kW,95,12,Sydney Service Centre,22400,Reactive,115,86,58,0,0,0,91,210,155,41,4,29,10,Critical,2025-11-15,False,High,1,Repeated vibration alarms and inconsistent pressure output.,Maintenance 29 days overdue. 4 fault events in last 30 days. Bearing inspection overdue.,220,78,2900,0,0,True,32000,4100,"[62, 56, 51, 47, 44, 41]",0,High,Pending Review,72,Service / Escalate,Immediate,"['4 recent fault event(s)', 'maintenance overdue by 29 day(s)', 'vibration above target band', 'temperature trend elevated', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
HTX-320,Heat Exchanger 1,Heat Exchanger,SWEP,B120,2021,350 kW,120,6,Sunshine West Test Centre,7600,Condition-Based,88,69,14,0,330,48,82,410,330,79,1,5,5,Medium,2026-03-01,True,Low,4,Slight fouling suspected but output remains stable.,Minor fouling flag raised. PM check due within 5 days.,150,36,0,96,28,True,28000,3200,"[84, 83, 81, 80, 79, 79]",70,Medium,Pending Review,90,Inspect / Tune / Clean,Planned,"['1 recent fault event(s)', 'maintenance overdue by 5 day(s)']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-404,Backup Boiler 4,Boiler,Thermax,IBR-1200,2015,1200 kW,200,14,Melbourne Plant,31200,Reactive,119,91,61,210,860,130,72,1350,860,36,5,43,11,Critical,2025-10-02,False,High,2,High-severity fault history and maintenance long overdue.,Maintenance 43 days overdue. 5 faults in last 30 days. Stack temp elevated.,280,85,1450,260,88,False,140000,14500,"[58, 52, 47, 43, 39, 36]",0,High,Pending Review,68,Service / Escalate,Immediate,"['5 recent fault event(s)', 'maintenance overdue by 43 day(s)', 'vibration above target band', 'temperature trend elevated', 'stack temperature indicates efficiency loss or fouling', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-202,Steam Boiler B,Boiler,Cleaver-Brooks,CB-600,2020,600 kW,175,9,Geelong Energy Hub,10200,Predictive,94,71,18,148,570,58,85,680,570,87,0,0,6,High,2026-03-18,True,Low,6,Operating normally. Predictive sensor data within range.,All PM completed on time. No outstanding issues.,130,40,1450,116,31,True,75000,6800,"[88, 88, 87, 87, 87, 87]",87,Low,Approved,96,Continue Monitoring,Routine,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-099,Condensate Pump 1,Pump,Lowara,ESHE-65,2017,90 kW,80,8,Sydney Service Centre,18700,Preventative,98,77,38,0,0,0,83,95,72,71,1,3,9,Medium,2026-03-05,True,Low,4,Slight vibration increase noticed. PM due in 3 days.,Last PM completed March 2026. Minor vibration flag.,145,48,2950,0,0,True,18000,2400,"[78, 76, 75, 74, 72, 71]",47,High,Pending Review,90,Service / Escalate,Immediate,"['1 recent fault event(s)', 'maintenance overdue by 3 day(s)', 'vibration above target band']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CTL-010,Combustion Controller,Controller,Siemens,RWF55,2022,N/A,60,0,Sunshine West Test Centre,5800,Condition-Based,42,0,4,0,0,0,91,0,0,93,0,0,4,High,2026-03-20,True,Low,7,All control loops operating within setpoint tolerances.,Calibration check passed March 2026.,0,0,0,0,0,True,12000,1800,"[94, 94, 93, 93, 93, 93]",93,Low,Approved,96,Continue Monitoring,Routine,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CHR-501,Industrial Chiller 1,Chiller,Trane,CGAM-150,2014,150 RT,10,5,Melbourne Plant,36800,Reactive,112,88,54,0,0,0,94,185,118,44,3,21,12,Critical,2025-12-18,True,Medium,3,Compressor noise increasing. Refrigerant level low.,PM 21 days overdue. Compressor bearing wear noted.,0,72,3550,0,0,True,85000,9500,"[62, 57, 53, 49, 46, 44]",0,High,Pending Review,76,Service / Escalate,Immediate,"['3 recent fault event(s)', 'maintenance overdue by 21 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-310,Gas Burner 3,Burner,Riello,RS-300,2023,300 kW,155,7,Geelong Energy Hub,3200,Predictive,86,66,11,138,285,36,78,350,285,91,0,0,3,Medium,2026-03-22,True,Low,8,New unit performing as expected. All readings nominal.,Commissioning check completed. All within spec.,120,32,1450,72,22,True,38000,3600,"[92, 92, 91, 91, 91, 91]",91,Low,Approved,96,Continue Monitoring,Routine,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
HTX-510,Thermal HX 1,Heat Exchanger,SWEP,B120,2019,350 kW,120,6,Sydney Service Centre,7642,Reactive,78.0,78.0,26.0,0,467.0,40.0,89.0,414.0,419.0,69,0,14,7,Medium,2026-01-07,False,Medium,6,Minor efficiency drift noticed during recent checks.,PM completed on schedule with no significant issues.,123,40.0,182.0,125.0,35.0,True,21148,3786,"[89, 87, 83, 78, 71, 66]",50,Medium,Pending Review,94,Inspect / Tune / Clean,Planned,"['maintenance overdue by 14 day(s)', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-511,Condensate Pump 2,Pump,Lowara,ESHE-65,2020,90 kW,80,8,Sunshine West Test Centre,20877,Preventative,83.0,90.0,36.0,0,76.0,9.0,96.0,54.0,0,55,0,6,6,Critical,2026-03-23,True,Low,7,Minor efficiency drift noticed during recent checks.,Recent work order noted recurring issue requiring review.,126,54.0,2753.0,12.0,0,True,30556,3793,"[77, 73, 71, 65, 62, 57]",44,High,Pending Review,94,Service / Escalate,Immediate,"['maintenance overdue by 6 day(s)', 'vibration above target band']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-512,Transfer Pump 3,Pump,Grundfos,NK-125,2015,200 kW,95,12,Melbourne Plant,21750,Predictive,119.0,87.0,70.0,8.0,79.0,0,73.0,167.0,39.0,52,3,54,11,Medium,2026-03-06,True,High,1,Operator reports unusual vibration pattern.,PM completed on schedule with no significant issues.,227,91.0,2733.0,0,0,True,28068,6281,"[52, 52, 51, 48, 48, 48]",0,High,Pending Review,76,Service / Escalate,Immediate,"['3 recent fault event(s)', 'maintenance overdue by 54 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-513,Hot Water Boiler 4,Boiler,Thermax,IBR-1200,2018,1200 kW,200,14,Geelong Energy Hub,35376,Condition-Based,130,99.0,68.0,181.0,791.0,119.0,65.0,1455.0,861.0,33,5,47,8,Critical,2026-03-13,False,High,6,Operating within expected band.,PM completed on schedule with no significant issues.,269,73.0,1212.0,238.0,90.0,False,140882,14324,"[36, 35, 35, 34, 32, 31]",0,High,Pending Review,68,Service / Escalate,Immediate,"['5 recent fault event(s)', 'maintenance overdue by 47 day(s)', 'vibration above target band', 'temperature trend elevated', 'stack temperature indicates efficiency loss or fouling', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
HTX-514,Heat Exchanger 5,Heat Exchanger,SWEP,B120,2022,350 kW,120,6,Sydney Service Centre,11586,Reactive,76.0,54.0,9.0,0,260.0,39.0,97.0,358.0,229.0,91,1,10,4,Critical,2026-01-02,False,Medium,2,Operator reports unusual vibration pattern.,Inspection recommended during next planned shutdown.,163,32.0,0,63.0,35.0,True,14021,2945,"[96, 96, 96, 96, 96, 92]",66,Medium,Pending Review,90,Inspect / Tune / Clean,Planned,"['1 recent fault event(s)', 'maintenance overdue by 10 day(s)', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-515,Backup Boiler 6,Boiler,Thermax,IBR-1200,2017,1200 kW,200,14,Sunshine West Test Centre,30092,Predictive,104.0,100,59.0,205.0,769.0,115.0,71.0,1325.0,891.0,28,5,54,9,Critical,2026-03-14,True,High,6,Minor efficiency drift noticed during recent checks.,Maintenance overdue and escalation advised if trends continue.,287,77.0,1625.0,221.0,100,False,131523,16432,"[27, 27, 26, 24, 23, 23]",0,High,Pending Review,68,Service / Escalate,Immediate,"['5 recent fault event(s)', 'maintenance overdue by 54 day(s)', 'vibration above target band', 'temperature trend elevated', 'stack temperature indicates efficiency loss or fouling']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-516,Steam Boiler 7,Boiler,Cleaver-Brooks,CB-600,2020,600 kW,175,9,Melbourne Plant,9942,Predictive,88.0,80.0,26.0,134.0,583.0,46.0,96.0,595.0,638.0,94,0,12,6,Medium,2026-03-04,True,High,4,Stack temperature trend should be reviewed.,Recent work order noted recurring issue requiring review.,117,57.0,1698.0,82.0,39.0,True,90621,5740,"[96, 96, 96, 96, 96, 96]",73,Medium,Pending Review,94,Inspect / Tune / Clean,Planned,['maintenance overdue by 12 day(s)'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-517,Feedwater Pump 8,Pump,Grundfos,NK-125,2015,200 kW,95,12,Geelong Energy Hub,19526,Preventative,130,94.0,52.0,19.0,0,0,88.0,215.0,270.0,28,4,46,11,Critical,2026-02-15,False,High,4,Fault events increasing during high load periods.,Inspection recommended during next planned shutdown.,202,72.0,2932.0,10.0,0,True,48989,5230,"[43, 40, 33, 32, 28, 28]",0,High,Pending Review,72,Service / Escalate,Immediate,"['4 recent fault event(s)', 'maintenance overdue by 46 day(s)', 'vibration above target band', 'temperature trend elevated', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-518,Hot Water Boiler 9,Boiler,Cleaver-Brooks,CB-600,2021,600 kW,175,9,Sydney Service Centre,9647,Condition-Based,112.0,77.0,1.0,161.0,623.0,66.0,66.0,565.0,635.0,75,1,18,5,Medium,2026-03-05,True,High,6,Operator reports unusual vibration pattern.,PM completed on schedule with no significant issues.,118,26.0,1319.0,142.0,43.0,True,90844,7321,"[81, 80, 77, 76, 75, 74]",45,High,Pending Review,90,Service / Escalate,Immediate,"['1 recent fault event(s)', 'maintenance overdue by 18 day(s)', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-519,Backup Boiler 10,Boiler,Cleaver-Brooks,CB-800,2018,800 kW,180,10,Sunshine West Test Centre,15546,Condition-Based,104.0,77.0,29.0,152.0,774.0,47.0,96.0,940.0,752.0,75,0,4,8,High,2026-03-01,True,High,8,Stack temperature trend should be reviewed.,PM completed on schedule with no significant issues.,130,51.0,1381.0,126.0,48.0,True,105556,8684,"[87, 84, 83, 81, 78, 76]",56,Medium,Pending Review,94,Inspect / Tune / Clean,Planned,"['maintenance overdue by 4 day(s)', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CHR-520,Cooling Chiller 11,Chiller,Trane,CGAM-150,2014,150 RT,10,5,Melbourne Plant,35596,Predictive,125.0,84.0,54.0,13.0,0,4.0,99.0,200.0,91.0,37,6,29,12,High,2026-03-07,True,Low,6,Minor efficiency drift noticed during recent checks.,Inspection recommended during next planned shutdown.,31,79.0,3600,0,12.0,True,102277,9042,"[57, 54, 48, 47, 39, 38]",0,High,Pending Review,64,Service / Escalate,Immediate,"['6 recent fault event(s)', 'maintenance overdue by 29 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
HTX-521,Heat Exchanger 12,Heat Exchanger,SWEP,B120,2024,350 kW,120,6,Geelong Energy Hub,8561,Reactive,91.0,64.0,8.0,0,409.0,56.0,80.0,314.0,251.0,62,2,22,2,Critical,2026-01-15,True,Medium,1,Stack temperature trend should be reviewed.,Recent work order noted recurring issue requiring review.,135,38.0,143.0,115.0,29.0,True,32965,3522,"[78, 75, 72, 68, 66, 63]",32,High,Pending Review,86,Service / Escalate,Immediate,"['2 recent fault event(s)', 'maintenance overdue by 22 day(s)']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CTL-522,Combustion Controller 13,Controller,Siemens,RWF55,2023,N/A,60,0,Sydney Service Centre,5162,Reactive,28.0,10.0,9.0,26.0,0,0,73.0,74.0,0,95,0,21,3,High,2026-01-14,True,High,4,Operator reports unusual vibration pattern.,Recent work order noted recurring issue requiring review.,30,0,153.0,0,8.0,True,12000,3985,"[95, 93, 92, 92, 91, 91]",78,Medium,Pending Review,94,Inspect / Tune / Clean,Planned,['maintenance overdue by 21 day(s)'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-523,Combustion Burner 14,Burner,Riello,RS-300,2022,300 kW,155,7,Sunshine West Test Centre,6147,Condition-Based,69.0,78.0,6.0,144.0,255.0,21.0,91.0,382.0,389.0,95,0,7,4,Critical,2026-01-18,True,Low,2,Stack temperature trend should be reviewed.,PM completed on schedule with no significant issues.,104,44.0,1488.0,32.0,13.0,True,51074,3516,"[96, 96, 96, 96, 96, 94]",92,Medium,Pending Review,96,Inspect / Tune / Clean,Planned,['maintenance overdue by 7 day(s)'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-524,Condensate Pump 15,Pump,Grundfos,NK-125,2017,200 kW,95,12,Melbourne Plant,21829,Reactive,119.0,72.0,60.0,0,101.0,10.0,90.0,156.0,144.0,28,5,54,9,Critical,2026-03-12,True,High,1,Minor efficiency drift noticed during recent checks.,Inspection recommended during next planned shutdown.,196,95,2682.0,6.0,8.0,True,45320,4748,"[34, 32, 30, 30, 29, 27]",0,High,Pending Review,68,Service / Escalate,Immediate,"['5 recent fault event(s)', 'maintenance overdue by 54 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-525,Gas Burner 16,Burner,Riello,RS-300,2025,300 kW,155,7,Geelong Energy Hub,1800,Condition-Based,100.0,78.0,18.0,167.0,263.0,39.0,70.0,320.0,340.0,77,2,25,1,Critical,2026-03-17,True,Low,7,Fault events increasing during high load periods.,PM completed on schedule with no significant issues.,97,18.0,1395.0,68.0,28.0,True,35596,4319,"[94, 88, 87, 82, 77, 74]",50,High,Pending Review,86,Service / Escalate,Immediate,"['2 recent fault event(s)', 'maintenance overdue by 25 day(s)']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-526,Steam Boiler 17,Boiler,Cleaver-Brooks,CB-800,2019,800 kW,180,10,Sydney Service Centre,12206,Condition-Based,85.0,74.0,26.0,177.0,680.0,81.0,89.0,992.0,812.0,91,0,23,7,High,2026-03-19,False,Low,5,Fault events increasing during high load periods.,Maintenance overdue and escalation advised if trends continue.,138,33.0,1465.0,84.0,49.0,True,88577,8685,"[96, 96, 96, 96, 96, 93]",69,High,Pending Review,94,Service / Escalate,Immediate,"['maintenance overdue by 23 day(s)', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-527,Gas Burner 18,Burner,Weishaupt,WM-GL30,2016,500 kW,160,8,Sunshine West Test Centre,10043,Reactive,112.0,76.0,44.0,183.0,369.0,89.0,84.0,744.0,515.0,74,2,22,10,High,2026-02-23,True,Low,8,Stack temperature trend should be reviewed.,Inspection recommended during next planned shutdown.,153,74.0,1403.0,129.0,48.0,True,45047,4704,"[77, 76, 76, 76, 74, 72]",21,High,Pending Review,80,Service / Escalate,Immediate,"['2 recent fault event(s)', 'maintenance overdue by 22 day(s)', 'vibration above target band', 'temperature trend elevated', 'stack temperature indicates efficiency loss or fouling']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CHR-528,Cooling Chiller 19,Chiller,Trane,CGAM-150,2012,150 RT,10,5,Melbourne Plant,40594,Preventative,117.0,74.0,46.0,0,117.0,0,100,298.0,90.0,47,5,24,14,High,2026-01-22,False,Medium,5,Stack temperature trend should be reviewed.,Recent work order noted recurring issue requiring review.,0,77.0,3358.0,10.0,13.0,True,100555,8935,"[61, 60, 57, 52, 49, 49]",0,High,Pending Review,68,Service / Escalate,Immediate,"['5 recent fault event(s)', 'maintenance overdue by 24 day(s)', 'vibration above target band', 'temperature trend elevated', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-529,Process Boiler 20,Boiler,Thermax,IBR-1200,2016,1200 kW,200,14,Geelong Energy Hub,29653,Reactive,125.0,100,71.0,230,985.0,137.0,74.0,1280.0,782.0,47,6,47,10,High,2026-03-01,False,High,7,Minor efficiency drift noticed during recent checks.,Recent work order noted recurring issue requiring review.,268,93.0,1328.0,221.0,98.0,False,129449,14600,"[60, 58, 57, 54, 53, 51]",0,High,Pending Review,64,Service / Escalate,Immediate,"['6 recent fault event(s)', 'maintenance overdue by 47 day(s)', 'vibration above target band', 'temperature trend elevated', 'stack temperature indicates efficiency loss or fouling', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-530,Steam Boiler 21,Boiler,Cleaver-Brooks,CB-600,2023,600 kW,175,9,Sydney Service Centre,10279,Predictive,110.0,77.0,22.0,131.0,686.0,59.0,94.0,720.0,584.0,95,2,7,3,High,2026-02-27,True,Medium,1,Stack temperature trend should be reviewed.,Maintenance overdue and escalation advised if trends continue.,151,54.0,1375.0,157.0,45.0,True,79011,8781,"[96, 96, 96, 96, 96, 96]",67,Medium,Pending Review,86,Inspect / Tune / Clean,Planned,"['2 recent fault event(s)', 'maintenance overdue by 7 day(s)', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
HTX-531,Heat Exchanger 22,Heat Exchanger,SWEP,B120,2019,350 kW,120,6,Sunshine West Test Centre,11067,Condition-Based,84.0,66.0,0,0,304.0,42.0,80.0,516.0,428.0,95,0,29,7,High,2026-02-01,False,High,3,Operating within expected band.,PM completed on schedule with no significant issues.,187,46.0,40.0,63.0,32.0,True,45091,2057,"[96, 96, 96, 96, 96, 94]",68,High,Pending Review,94,Service / Escalate,Immediate,"['maintenance overdue by 29 day(s)', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-532,Burner Unit 23,Burner,Riello,RS-300,2024,300 kW,155,7,Melbourne Plant,2800,Preventative,91.0,53.0,0,134.0,293.0,21.0,87.0,432.0,244.0,71,3,3,2,Critical,2026-02-11,True,Low,6,Stack temperature trend should be reviewed.,PM completed on schedule with no significant issues.,160,24.0,1209.0,36.0,32.0,True,32227,4322,"[81, 80, 76, 74, 74, 73]",56,Medium,Pending Review,82,Inspect / Tune / Clean,Planned,"['3 recent fault event(s)', 'maintenance overdue by 3 day(s)']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CTL-533,Combustion Controller 24,Controller,Siemens,RWF55,2023,N/A,60,0,Geelong Energy Hub,7869,Reactive,42.0,8.0,11.0,27.0,0,0,72.0,0,4.0,80,1,3,3,High,2026-02-22,True,Low,3,Fault events increasing during high load periods.,Recent work order noted recurring issue requiring review.,32,0,60.0,0,0,True,21503,3370,"[89, 87, 86, 84, 83, 82]",71,Medium,Pending Review,90,Inspect / Tune / Clean,Planned,"['1 recent fault event(s)', 'maintenance overdue by 3 day(s)']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CTL-534,Combustion Controller 25,Controller,Siemens,RWF55,2024,N/A,60,0,Sydney Service Centre,3303,Condition-Based,48.0,0,15.0,3.0,107.0,0,95.0,120.0,0,80,2,10,2,High,2026-03-02,False,Low,1,Stack temperature trend should be reviewed.,Maintenance overdue and escalation advised if trends continue.,13,0,197.0,26.0,0,True,12000,2578,"[96, 96, 96, 93, 90, 84]",51,Medium,Pending Review,86,Inspect / Tune / Clean,Planned,"['2 recent fault event(s)', 'maintenance overdue by 10 day(s)', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-535,Steam Boiler 26,Boiler,Cleaver-Brooks,CB-800,2020,800 kW,180,10,Sunshine West Test Centre,11873,Predictive,101.0,84.0,27.0,151.0,816.0,48.0,81.0,995.0,684.0,91,3,25,6,Medium,2026-02-11,True,High,5,Minor efficiency drift noticed during recent checks.,Maintenance overdue and escalation advised if trends continue.,124,38.0,1422.0,136.0,32.0,True,112266,7474,"[96, 96, 96, 96, 96, 96]",55,High,Pending Review,82,Service / Escalate,Immediate,"['3 recent fault event(s)', 'maintenance overdue by 25 day(s)', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
